feed_id,source_id,feed_name,feed_type,url,topic,expected_data,collection_method,automation_stage,status,refresh_cadence,review_required,legal_reuse_caveat,why_this_feed_matters,should_enter_mvp_automation
fr27_feed_001,src_data_gouv,Conseil constitutionnel data.gouv organization,catalog,https://www.data.gouv.fr/organizations/conseil-constitutionnel/,official_datasets,official CC datasets and metadata,automated,planned,active,weekly,false,Open Licence metadata via data.gouv; verify each resource licence,Official anchor for parrainages results decisions datasets,true
fr27_feed_002,src_data_gouv,Parrainages 2022 schema reference,api,https://www.data.gouv.fr/api/1/datasets/parrainages-des-candidats-a-lelection-presidentielle-francaise-de-2022/,parrainages,schema and resource metadata for future 2027 reuse,automated,planned,active,monthly,false,Schema reference only; do not present as 2027 data,Best prior official structure for future sponsorship feed,true
fr27_feed_003,src_conseil_constitutionnel,Presidentielle 2027 parrainages future endpoint,source_page,https://presidentielle2027.conseil-constitutionnel.fr/,parrainages,validated sponsorships once official endpoint exists,staging,planned,needs_review,daily,true,Future endpoint inferred from prior cycle; inspect before activation,Core official candidate qualification data,true
fr27_feed_004,src_commission_sondages,Commission des sondages notices,source_page,https://www.commission-des-sondages.fr/notices/,polling_notices,notice list and methodology references,manual_review,staging,active,daily,true,Public notices only; extract metadata conservatively and link to notice; no proprietary poll-table scraping,Primary legal source for published election polls,true
fr27_feed_005,src_legifrance,Loi 77-808 polling law,legal_page,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000522846/,polling_law,legal text and version metadata,automated,planned,active,monthly,true,Official Legifrance text; store citations and version date,Defines regulated polling scope,true
fr27_feed_006,src_legifrance,Loi 62-1292 presidential election law,legal_page,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000684037,presidential_legal_framework,consolidated presidential election law,automated,planned,active,monthly,true,Official Legifrance text; store version date,Primary legal framework,true
fr27_feed_007,src_legifrance,Decret 2001-213 presidential election procedure,legal_page,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000769091/,procedure_candidacies,procedural rules for presentations campaign and control,automated,planned,active,monthly,true,Official Legifrance text; review changes manually,Operational election procedure,true
fr27_feed_008,src_data_gouv,data.gouv elections catalog,catalog,https://www.data.gouv.fr/elections,election_open_data,catalog of official election datasets,automated,planned,active,weekly,false,Open-data catalog; verify producer and licence per dataset,Discovery layer for official datasets,true
fr27_feed_009,src_data_gouv,data.gouv API presidential dataset search,api,https://www.data.gouv.fr/api/1/datasets/?q=%C3%A9lection%20pr%C3%A9sidentielle,election_open_data,dataset metadata and resources for presidential election,automated,planned,active,weekly,false,Use metadata only until resources validated,Automated discovery without scraping,true
fr27_feed_010,src_cnccfp,CNCCFP Election du President de la Republique 2027,source_page,https://cnccfp.fr/elections/election-du-president-de-la-republique-2027/,campaign_finance,2027 candidate and mandataire documents,manual_review,planned,active,weekly,true,Official documents; no legal advice; cite version and date,Core campaign-finance procedural feed,true
fr27_feed_011,src_cnccfp,CNCCFP presidential category,source_page,https://cnccfp.fr/category/election/presidentielle/,campaign_finance,all presidential finance posts and decisions,manual_review,planned,active,weekly,true,Official site; metadata and link extraction only,Tracks new 2027 finance updates,true
fr27_feed_012,src_hatvp,HATVP declarations open data page,source_page,https://www.hatvp.fr/open-data/,transparency_declarations,open-data documentation for public declarations,manual_review,planned,active,monthly,true,Open Licence Etalab; respect publication limits and privacy rules,Relevant for candidate declaration and public integrity layer,true
